信驊科技,5274,Cabinet
F-敦泰,5280,Listed
數字,5287,Cabinet
宜鼎國際,5289,Cabinet
寶得利,5301,Cabinet
敦南科技,5305,Listed
桂盟,5306,Cabinet
寶島科,5312,Cabinet
世界,5347,Cabinet
先豐通訊,5349,Cabinet
鈺創科技,5351,Cabinet
協益電子,5356,Cabinet
中光電,5371,Cabinet
中磊電子,5388,Listed
應華精密,5392,Cabinet
台半,5425,Cabinet
崇越科技,5434,Listed
宣德,5457,Cabinet
泰林,5466,Cabinet
智冠,5478,Cabinet
中美矽晶,5483,Cabinet
彩富電子,5489,Cabinet
同亨,5490,Cabinet
和旺,5505,Cabinet
永信建設,5508,Cabinet
力麒,5512,Cabinet
長虹,5534,Listed
聖暉,5536,Cabinet
日盛金控,5820,Cabinet
F-中租,5871,Listed
合庫金,5880,Listed
F-大洋,5907,Listed
創惟科技,6104,Cabinet
瑞傳科技,6105,Cabinet
華美電子,6107,Cabinet
翔昇電子,6114,Cabinet
彩晶,6116,Listed
新普,6121,Cabinet
廣運,6125,Cabinet
振曜科技,6143,Cabinet
耕興,6146,Cabinet
頎邦科技,6147,Cabinet
嘉聯益,6153,Listed
凌華科技,6166,Listed
瑞儀光電,6176,Listed
遊戲橘子,6180,Cabinet
合晶,6182,Cabinet
幃翔精密,6185,Cabinet
廣明光電,6188,Cabinet
詩肯,6195,Cabinet
盛群,6202,Listed
海韻電,6203,Cabinet
飛捷,6206,Listed
精誠資訊,6214,Listed
旺矽,6223,Cabinet
力成,6239,Listed
矽格,6257,Listed
久元,6261,Cabinet
台郡科技,6269,Listed
同欣電子,6271,Listed
台燿,6274,Cabinet
台表科,6278,Listed
胡連,6279,Cabinet
康舒,6282,Listed
佳邦科技,6284,Cabinet
啟碁科技,6285,Listed
立錡,6286,Listed
良維科技,6290,Cabinet
崴強科技,6298,Cabinet
F-通訊,6404,Cabinet
旭隼,6409,Listed
樺漢科技,6414,Listed
F-矽力,6415,Listed
聚和,6509,Cabinet
帝寶工業,6605,Listed
瀧澤科,6609,Cabinet
矽創電子,8016,Listed
台虹科技,8039,Listed
金山電,8042,Cabinet
網路家庭,8044,Cabinet
南電,8046,Listed
廣積科技,8050,Cabinet
元太科技,8069,Cabinet
伍豐科技,8076,Cabinet
瑞穎,8083,Cabinet
博大科技,8109,Cabinet
振樺電子,8114,Listed
越峰電子,8121,Cabinet
志超,8213,Listed
明基材料,8215,Listed
新漢,8234,Cabinet
華宏新技,8240,Cabinet
朋程科技,8255,Cabinet
群聯電子,8299,Cabinet
恒耀國際,8349,Cabinet
千附,8383,Cabinet
F-金可,8406,Cabinet
F-紅木,8426,Cabinet
大江生醫,8436,Cabinet
光隆,8916,Cabinet
國統國際,8936,Cabinet
森鉅,8942,Cabinet
寶成工業,9904,Listed
統一實業,9907,Listed
美利達,9914,Listed
全國,9937,Listed
台灣百和,9938,Listed
宏全,9939,Listed
潤泰創新,9945,Listed
皇田工業,9951,Cabinet
